Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
PLPC,Preformed Line Products Company,70.23,376494532.2,n/a,n/a,Basic Industries,Water Supply,http://www.nasdaq.com/symbol/plpc
CTWS,"Connecticut Water Service, Inc.",31.12,342429293.4,n/a,n/a,Public Utilities,Water Supply,http://www.nasdaq.com/symbol/ctws
SAIA,"Saia, Inc.",31.03,757837746.3,n/a,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/saia
UACL,"Universal Truckload Services, Inc.",26.46,795888011.5,n/a,2005,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/uacl
JBHT,"J.B. Hunt Transport Services, Inc.",72.44,8480362384,n/a,n/a,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/jbht
ODFL,"Old Dominion Freight Line, Inc.",46.73,4026486571,n/a,1991,Transportation,Trucking Freight/Courier Services,http://www.nasdaq.com/symbol/odfl
AAWW,Atlas Air Worldwide Holdings,44.95,1134629024,n/a,n/a,Transportation,Transportation Services,http://www.nasdaq.com/symbol/aaww
CMCSK,Comcast Corporation,43.34,20883905884,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/cmcsk
NETC,NET Servicos de Comunicacao S.A.,12.56,8032798.24,639554,1994,Consumer Services,Television Services,http://www.nasdaq.com/symbol/netc
LVNTA,Liberty Interactive Corporation,92.04,3385831117,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lvnta
LBTYB,Liberty Global plc,79.02,804130830.9,n/a,n/a,Consumer Services,Television Services,http://www.nasdaq.com/symbol/lbtyb
JCS,"Communications Systems, Inc.",10.56,90269013.12,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/jcs
CTCH,Commtouch Software Ltd.,2.751,72501168.98,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/ctch
RITT,RIT Technologies Ltd.,2.3399,21481976.09,n/a,1997,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/ritt
VIP,VimpelCom Ltd.,12.4,20485963690,1652093846,1996,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/vip
LMOS,Lumos Networks Corp.,20.77,456974997.5,n/a,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/lmos
GOGO,Gogo Inc.,17.12,1439746632,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/gogo
AUDC,AudioCodes Ltd.,6.96,265507156.8,n/a,1999,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/audc
FRP,"FairPoint Communications, Inc.",9.39,248677557.9,n/a,1986,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/frp
CNSL,"Consolidated Communications Holdings, Inc.",17.45,699945989.1,n/a,2005,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/cnsl
EONC,eOn Communications Corporation,1.0601,3050282.975,n/a,2000,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/eonc
IKAN,"Ikanos Communications, Inc.",1.22,87425137.78,n/a,2005,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ikan
LEAP,"Leap Wireless International, Inc.",15.76,1250518397,n/a,1985,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/leap
VOD,Vodafone Group Plc,35.54,35798661222,1007278031,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/vod
HWCC,Houston Wire & Cable Company,13.25,237692094.5,n/a,2006,Consumer Non-Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/hwcc
PLCM,"Polycom, Inc.",10.92,1860950320,n/a,1996,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/plcm
PTNR,Partner Communications Company Ltd.,8.15,92665997.15,11370061,n/a,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/ptnr
UTSI,UTStarcom Holdings Corp,2.88,113473146.2,n/a,2000,Consumer Durables,Telecommunications Equipment,http://www.nasdaq.com/symbol/utsi
ADTN,"ADTRAN, Inc.",26.4,1536956784,n/a,1994,Public Utilities,Telecommunications Equipment,http://www.nasdaq.com/symbol/adtn
WPCS,WPCS International Incorporated,2.66,3378011.14,n/a,n/a,Consumer Services,Telecommunications Equipment,http://www.nasdaq.com/symbol/wpcs
IIIN,"Insteel Industries, Inc.",15.89,288118433.4,n/a,n/a,Capital Goods,Steel/Iron Ore,http://www.nasdaq.com/symbol/iiin
SYNL,Synalloy Corporation,16.45,142832060,n/a,1990,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/synl
OSN,"Ossen Innovation Co., Ltd.",0.65,3939948.35,6061459,2010,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/osn
CPSL,"China Precision Steel, Inc.",1.31,5083934.46,n/a,n/a,Basic Industries,Steel/Iron Ore,http://www.nasdaq.com/symbol/cpsl
AGIIL,"Argo Group International Holdings, Ltd.",21.97,0,n/a,n/a,Finance,Specialty Insurers,http://www.nasdaq.com/symbol/agiil
BRID,Bridgford Foods Corporation,10.56,96611475.84,n/a,n/a,Consumer Non-Durables,Specialty Foods,http://www.nasdaq.com/symbol/brid
IPHS,"Innophos Holdings, Inc.",51.95,1141226794,n/a,2006,Consumer Durables,Specialty Chemicals,http://www.nasdaq.com/symbol/iphs
ICON,"Iconix Brand Group, Inc.",33.04,1791717834,n/a,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/icon
DFZ,R.G. Barry Corporation,18.99,216843714.6,n/a,n/a,Consumer Non-Durables,Shoe Manufacturing,http://www.nasdaq.com/symbol/dfz
CHDN,"Churchill Downs, Incorporated",85.05,1524510874,n/a,n/a,Consumer Services,Services-Misc. Amusement & Recreation,http://www.nasdaq.com/symbol/chdn
SWKS,"Skyworks Solutions, Inc.",24.92,4678440131,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/swks
LPTH,"LightPath Technologies, Inc.",1.35,18617791.95,n/a,1996,Technology,Semiconductors,http://www.nasdaq.com/symbol/lpth
OSIS,"OSI Systems, Inc.",74.87,1495878492,n/a,1997,Technology,Semiconductors,http://www.nasdaq.com/symbol/osis
TSEM,Tower Semiconductor Ltd.,4.9,234531811.5,n/a,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/tsem
CY,Cypress Semiconductor Corporation,9.06,1352337566,n/a,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/cy
DSPG,"DSP Group, Inc.",7,157898181,n/a,1994,Technology,Semiconductors,http://www.nasdaq.com/symbol/dspg
SMTC,Semtech Corporation,29.84,2030708144,n/a,n/a,Technology,Semiconductors,http://www.nasdaq.com/symbol/smtc
SIGM,"Sigma Designs, Inc.",5.69,196691681,n/a,1986,Technology,Semiconductors,http://www.nasdaq.com/symbol/sigm
ATML,Atmel Corporation,7.329,3133708139,n/a,1991,Technology,Semiconductors,http://www.nasdaq.com/symbol/atml
